10:08:36.769 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4adba55a, org.springframework.security.web.context.SecurityContextPersistenceFilter@9e12ac6, org.springframework.security.web.header.HeaderWriterFilter@40e6804c, org.springframework.security.web.authentication.logout.LogoutFilter@9dc269f, org.springframework.security.web.session.ConcurrentSessionFilter@5aed6f47, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@b7a2487, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7d713f56, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@384d4d67, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@733e1013, org.springframework.security.web.session.SessionManagementFilter@b99cc0b, org.springframework.security.web.access.ExceptionTranslationFilter@7c15f94d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4d0f070c]
10:08:36.801 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:08:36.810 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:08:36.813 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.256 seconds (JVM running for 712.523)
10:08:36.814 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:09:20.100 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:09:20.100 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:09:20.253 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:09:20.254 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:09:20.254 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:09:20.266 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
